IPODate,CompanyName,StockCode,IPOValue,IPOPrice
2021-09-10,Silverspac Inc,SLVRU,250.0M,10
2021-09-10,Bannix Acquisition Corp,BNIXU,50.0M,10
2021-09-10,Future Health Esg Corp,FHLTU,200.0M,10
2021-09-10,First Light Acquisition Group Inc,FLAG_u,200.0M,10
2021-09-09,Banner Acquisition Corp,BNNRU,150.0M,10
2021-09-02,Renovorx Inc,RNXT,16.7M,9
2021-09-02,Seqll Inc,SQL,9.8M,4.25
2021-09-02,Dtrt Health Acquisition Corp,DTRTU,200.0M,10
2021-09-02,Insight Acquisition Corp,INAQ_u,240.0M,10
2021-09-01,Concord Acquisition II Corp,CNDA_u,250.0M,10
2021-09-01,Yoantion Industrial,301053,242.6M,11.87
2021-12-28,Welsbach Technology Metals Acq Corp,WTMAU,75.0M,10
2021-12-27,Arogo Capital Acquisition Corp,AOGOU,90.0M,10
2021-12-23,Hour Loop Inc,HOUR,6.0M,4
2021-12-23,Aetherium Acquisition Corp,GMFIU,100.0M,10
2021-12-22,Gardiner Healthcare Acquisitions Corp,GDNRU,75.0M,10
2021-12-21,Nexgel Inc,NXGL,14.1M,6.83
2021-12-21,Sagaliam Acquisition Corp,SAGAU,100.0M,10
2021-12-21,Larkspur Health Acquisition Corp,LSPRU,75.0M,10
2021-12-20,Northview Acquisition Corp,NVACU,150.0M,10
2021-12-17,Ap Acquisition Corp,APCA_u,150.0M,10
2021-12-17,Revelstone Capital Acquisition Corp,RCACU,150.0M,10
2021-12-16,Cf Acquisition VII Corp,CFFSU,175.0M,10
2021-12-16,Ault Disruptive Technologies Corp,ADRT_u,100.0M,10
2021-12-16,Ftac Emerald Acquisition Corp,EMLDU,220.0M,10
2021-12-16,Spree Acquisition Corp 1 Ltd,SHAP_u,175.0M,10
2021-12-15,Immix Biopharma Inc,IMMX,19.1M,5
2021-12-15,Swiftmerge Acquisition Corp,IVCPU,200.0M,10
2021-12-15,Investcorp Europe Acq I Corp,IVCBU,250.0M,10
2021-12-15,Pearl Holdings Acquisition Corp,PRLHU,175.0M,10
2021-12-15,Ahren Acquisition Corp,AHRNU,275.0M,10
2021-12-15,Eve Mobility Acquisition Corp,EVE_u,220.0M,10
2021-12-15,Battery Future Acquisition Corp,BFAC_u,300.0M,10
2021-12-15,Samsara Inc,IOT,805.0M,23
2021-12-14,Genenta Science Spa,GNTA,30.0M,11.5
2021-12-14,Kairous Acquisition Corp,KACLU,75.0M,10
2021-12-13,Bionomics Ltd,BNOX,25.0M,15.45
2021-12-13,Alpha Star Acquisition Corp,ALSAU,100.0M,10
2021-12-10,Forbion European Acquisition Corp,FRBNU,100.0M,10
2021-12-10,Trajectory Alpha Acquisition Corp,TCOA_u,200.0M,10
2021-12-10,Healthcare AI Acquisition Corp,HAIAU,110.0M,10
2021-12-10,Southport Acquisition Corporation,PORT_u,200.0M,10
2021-12-10,Power And Digital Infra Acq II Corp,XPDBU,250.0M,10
2021-12-10,The Growth for Good Acq Corporation,GFGDU,220.0M,10
2021-12-10,Burtech Acquisition Corp,BRKHU,250.0M,10
2021-12-10,Athena Technology Acq Corp II,ATEK_u,250.0M,10
2021-12-09,Nu Holdings Ltd,NU,289.2M,9
2021-12-09,Chicago Atlantic Real Estate Financ,REFI,100.0M,16
2021-12-09,Fresh Grapes Llc,VINE,22.0M,10
2021-12-09,Hashi Corp,HCP,15.3M,80
2021-12-09,Financial Strategies Acq Corp,FXCOU,87.0M,10
2021-12-09,Sidus Space Inc,SIDU,15.0M,5
2021-12-09,Neurosense Therapeutics Ltd,NRSN,11.1M,6
2021-12-09,Genesis Growth Tech Acq Corp,GGAAU,200.0M,10
2021-12-09,Target Global Acquisition I Corp,TGAAU,200.0M,10
2021-12-09,Jackson Acquisition Co,RJAC_u,200.0M,10
2021-12-09,Inception Growth Acquisition Ltd,IGTAU,90.0M,10
2021-12-09,Integrated Wellness Acq Corp,WEL_u,100.0M,10
2021-12-09,Sculptor Acquisition Corp I,SCUA_u,200.0M,10
2021-12-07,Apx Acquisition I Corp,APXIU,150.0M,10
2021-12-07,Motive Capital II Corp,MTVC_u,300.0M,10
2021-12-07,Globalink Investment Inc,GLLIU,100.0M,10
2021-12-07,Jupiter Wellness Acquisition Corp,JWACU,120.0M,10
2021-12-03,Blue Ocean Acquisition Corp,BOCNU,150.0M,10
2021-12-03,Bullpen Parlay Acquisition Co,BPACU,200.0M,10
2021-12-03,St Energy Transition I Ltd,STET_u,250.0M,10
2021-12-03,Crypto 1 Acquisition Corp,DAOOU,200.0M,10
2021-12-02,Games Esports Exp Acq Corp,GEEXU,175.0M,10
2021-12-02,Roc Energy Acquisition Corp,ROCAU,180.0M,10
2021-12-02,Uta Acquisition Corp,UTAAU,200.0M,10
2021-12-02,Bioplus Acquisition Corp,BIOSU,180.0M,10
2021-12-01,Tlgy Acquisition Corp,TLGYU,200.0M,10
2021-12-01,Roth Ch Acquisition V Co,ROCLU,10.0M,10
2021-12-01,Capitalworks Emerging Mkts Acq Corp,CMCAU,20.0M,10
2021-11-30,Canna Global Acquisition Corp,CNGLU,200.0M,10
2021-11-30,Proof Acquisition I Corp,PACI_u,240.0M,10
2021-11-24,Aeroclean Technologies Llc,AERC,25.0M,10
2021-11-24,Beard Energy Transition Acq Corp,BRD_u,20.0M,10
2021-11-24,Everest Consolidator Acq Corp,MNTN_u,15.0M,10
2021-11-23,Legato Merger II Corp,LGTOU,200.0M,10
2021-11-23,Vahanna Tech Edge Acq I Corp,VHNAU,150.0M,10
2021-11-23,Mana Capital Acquisition Corp,MAAQU,6.2M,10
2021-11-19,Finwise Bancorp,FINW,33.4M,10.5
2021-11-19,Ftac Zeus Acquisition Corp,ZINGU,300.0M,10
2021-11-19,Infinite Acquisition Corp,NFNT_u,240.0M,10
2021-11-19,Crescera Capital Acquisition Corp,CRECU,175.0M,10
2021-11-19,Infint Acquisition Corp,IFIN_u,173.9M,10
2021-11-18,Sono Group,SEV,150.0M,15
2021-11-18,User Testing Inc,USER,198.4M,14
2021-11-18,Snow Lake Resources Ltd,LITM,21.4M,7.5
2021-11-18,Sangoma Technologies Corp,SANG,124.7M,22.68
2021-11-18,Bleuacacia Ltd,BLEUU,200.0M,10
2021-11-18,Arisz Acquisition Corp,ARIZU,60.0M,10
2021-11-18,Alsp Orchid Acquisition I Corp,ALORU,150.0M,10
2021-11-17,Sweetgreen Inc,SG,350.0M,28
2021-11-17,Nabors Energy Transition Corp,NETC_u,240.0M,10
2021-11-17,Seaport Global Acquisition II Corp,SGIIU,125.0M,10
2021-11-17,Shoulderup Technology Acq Corp,SUAC_u,265.0M,10
2021-11-17,Lf Capital Acquisition II Corp,LFACU,225.0M,10
2021-11-16,Iris Energy Ltd,IREN,231.5M,28
2021-11-15,Oncology Institute Inc,TOI,200.0M,10
2021-11-12,Integrated Rail and Resc Acq Corp,IRRX_u,200.0M,10
2021-11-12,Mountain Crest Acquisition V Corp,MCAGU,60.0M,10
2021-11-11,Expensify Inc,EXFY,262.7M,27
2021-11-11,Lulus Fashion Lounge Holdings Inc,LVLU,92.0M,16
2021-11-11,CI And T,CINT,291.7M,15
2021-11-11,Backblaze Inc,BLZE,100.0M,16
2021-11-11,Rivian Automotive Inc,RIVN,11.9B,78
2021-11-11,Weave Communications Inc,WEAV,120.0M,24
2021-11-11,Vaxxinity Inc,VAXX,87.1M,13
2021-11-11,Mynaric Ag,MYNA,69.9M,17.48
2021-11-11,Journey Medical Corp,DERM,32.0M,10
2021-11-11,Tivic Health Systems Inc,TIVC,13.6M,5
2021-11-11,Heartbeam Inc,BEAT,16.5M,6
2021-11-11,Lamf Global Ventures I Corp,LGVCU,200.0M,10
2021-11-11,Vmg Consumer Acquisition Corp,VMGAU,200.0M,10
2021-11-10,Third Coast Bancshares,TCBX,75.0M,25
2021-11-10,Omnilit Acquisition Corp,OLITU,125.0M,10
2021-11-10,Green Visor Fin Tech Acq I Corp,GVCIU,150.0M,10
2021-11-10,Bluejay Diagnostics Inc,BJDX,18.0M,10
2021-11-10,Chain Bridge I,CBRGU,200.0M,10
2021-11-10,Arena Fortify Acquisition Corp,AFACU,150.0M,10
2021-11-10,Ascendant Digital Acq III Corp,ACDI_u,261.0M,10
2021-11-10,Blockchain Coinvestors Acq I Corp,BCSAU,261.0M,10
2021-11-10,Rcf Acquisition Corp,RCFA_u,200.0M,10
2021-11-09,Stran And Co Inc,STRN,13.8M,4.15
2021-11-09,Hunt Companies Acquisition I Corp,HTAQ_u,200.0M,10
2021-11-09,Apeiron Capital Investment Corp,APN_u,150.0M,10
2021-11-09,Dp Cap Acquisition I Corp,DPCSU,200.0M,10
2021-11-05,New Providence Acquisition II Corp,NPABU,225.0M,10
2021-11-05,Mountain I Acquisition Corp,MCAAU,200.0M,10
2021-11-05,7 Acquisition Corp,SVNAU,200.0M,10
2021-11-05,Intelligent Medicine Acq Corp,IQMDU,180.0M,10
2021-11-05,Rigel Resource Acquisition Corp,RRAC_u,275.0M,10
2021-11-04,Augmedix Inc,AUGX,26.7M,4
2021-11-04,Informatica Inc,INFA,841.0M,29
2021-11-04,Rent the Runway Inc,RENT,315.0M,21
2021-11-04,Claros Mortgage Trust Inc,CMTG,130.6M,18.65
2021-11-04,Nerdwallet Inc,NRDS,130.5M,18
2021-11-04,Arhaus Inc,ARHS,297.7M,13
2021-11-04,Real Good Food Company Inc,RGF,64.0M,12
2021-11-04,Mainz Biomed Bv,MYNZ,10.0M,5
2021-11-04,Cian Plc,CIAN,291.4M,16
2021-11-04,Io Biotech Inc,IOBT,91.0M,14
2021-11-04,Kidpik Corp,PIK,14.2M,8.5
2021-11-04,Evotec Se,EVO,575.5M,26.16
2021-11-04,Finnovate Acquisition Corp,FNVTU,150.0M,10
2021-11-04,Liberty Resources Acquisition Corp,LIBYU,100.0M,10
2021-11-04,Mercato Partners Acquisition Corp,MPRAU,200.0M,10
2021-11-04,Lionheart III Corp,LIONU,115.0M,10
2021-11-04,Spindletop Health Acquisition Corp,SHCAU,200.0M,10
2021-11-04,Concord Acquisition III Corp,CNDB_u,300.0M,10
2021-11-04,Juniper II Corp,JUN_u,260.0M,10
2021-11-04,Semper Paratus Acquisition,LGSTU,300.0M,10
2021-11-04,Bird Global Inc,BRDS,275.0M,10
2021-11-03,Cadre Holdings Inc,CDRE,75.0M,13
2021-11-03,Allbirds Inc,BIRD,288.5M,15
2021-11-03,TG Venture Acquisition Corp,TGVCU,100.0M,10
2021-11-03,Talon 1 Acquisition Corp,TOACU,200.0M,10
2021-11-03,McLaren Technology Acquisition Corp,MLAIU,175.0M,10
2021-11-03,Sizzle Acquisition Corp,SZZLU,125.0M,10
2021-11-03,Onyx Acquisition I Co,ONYXU,200.0M,10
2021-11-03,Trine II Acquisition Corp,TRAQ_u,360.0M,10
2021-11-03,Aurora Innovation Inc,AUR,850.0M,10
2021-11-02,Fortune Rise Acquisition Corp,FRLAU,85.0M,10
2022-03-31,Rail Vision Ltd,RVSN,8.1M,4.13
2022-03-31,Investcorp India Acq Corp,IVCAU,225.0M,10
2022-03-31,Expion 360 Inc,EXPN,15.0M,7
2022-03-31,Redwoods Acq Corp,RWODU,100.0M,10
2022-03-24,Rf Acq Corp,RFACU,100.0M,10
2022-03-24,An2 Therapeutics Inc,ANTX,60.0M,15
2022-03-24,Locafy Ltd,LCFY,10.0M,5.5
2022-03-17,Akanda Corp,AKAN,16.0M,4
2022-03-17,Goldenstone Acq Ltd,GDSTU,50.0M,10
2022-03-09,Lakeshore Acq II Corp,LBBBU,60.0M,10
2022-03-02,Shuaa Partners Acq I Corp,SHUAU,100.0M,10
2022-03-02,Kensington Capital Acq IV Corp,KCAC_u,200.0M,10
2022-03-02,Beamr Imaging Inc,BMR,7.0M,5
2022-03-01,Valuence Merger I Corp,VMCAU,200.0M,10
2022-02-24,GSR II Meteora Acquisition Corp,GSRMU,275.0M,10
2022-02-24,Clean Earth Acq Corp,CLINU,200.0M,10
2022-02-18,Powerup Acq Corp,PWUPU,250.0M,10
2022-02-18,Blue Water Vaccines Inc,BWV,20.0M,9
2022-02-17,Meihua Intl Med Tech Co Ltd,MEIU,39.0M,10
2022-02-16,Future Tech II Acquisition Corp,FTIIU,100.0M,10
2022-02-16,Axios Sustainable Growth Acq Corp,AXAC_u,150.0M,10
2022-02-15,Genesis Unicorn Capital Corp,GENQU,75.0M,10
2022-02-11,Jaguar Global Growth Corp I,JGGCU,200.0M,10
2022-02-11,Signal Hill Acq Corp,SGHLU,100.0M,10
2022-02-11,Relativity Acq Corp,RACYU,125.0M,10
2022-02-10,Direct Digital Holdings Corp,DRCT,12.1M,5.5
2022-02-10,Sky Technologies Inc,SKYX,21.0M,14
2022-02-10,Heartcore Enterprises Inc,HTCR,15.0M,5
2022-02-09,Evergreen Corp,EVGRU,100.0M,10
2022-02-09,Counter Press Acquisition Corp,CPAQU,75.0M,10
2022-02-09,Sondors Inc,SODR,25.0M,8.00-10.00
2022-02-08,Liv Capital Acquisition II Corp,LIVBU,100.0M,10
2022-02-04,Kimbell Tiger Acquisition Corp,TGR_u,200.0M,10
2022-02-03,Arcellx Inc,ACLX,123.8M,15
2022-02-03,Sound Point Acq I Corp,SPCMU,200.0M,10
2022-02-02,Maris Tech Ltd,MTEK,15.5M,4.2
2022-02-01,Alset Capital Acq Corp,ACAXU,75.0M,10
2022-01-27,Modular Medical Inc,MODD,30.0M,12.49
2022-01-27,Credo Technology Grp Hldg Ltd,CRDO,250.0M,10
2022-01-27,Knightscope Inc,KSCP,40.0M,10
2022-01-26,Fgi Industries Ltd,FGI,15.0M,6
2022-01-25,Keyarch Acquisition Corp,KYCHU,10.0M,10
2022-01-25,Latamgrowth Spac,LATGU,130.0M,10
2022-01-24,Generation Asia I Acq Ltd,GAQ_u,200.0M,10
2022-01-21,Knightswan Acquisition Corp,KNSW_u,20.0M,10
2022-01-21,Heartland Media Acq Corp,HMA,17.5M,10
2022-01-20,Banyan Acquisition Corp,BYN_u,200.0M,10
2022-01-20,Duet Acquisition Corp,DUETU,75.0M,10
2022-01-19,Nsts Bancorp Inc,NSTS,44.2M,9.6
2022-01-19,Aib Acquisition Corp,AIBBU,75.0M,10
2022-01-18,Tech and Telecom Acq Corp,TETEU,100.0M,10
2022-01-14,Atlantic Coastal Acq Corp II,ACABU,261.0M,10
2022-01-14,Papaya Growth Opportunity Corp I,PPYAU,250.0M,10
2022-01-13,Cfsb Bancorp Inc,CFSB,24.7M,10
2022-01-13,Andretti Acquisition Corp,WNNR_u,200.0M,10
2022-01-13,Consilium Acquisition I Corp,CSLMU,150.0M,10
2022-01-12,Tpg Inc,TPG,1.0B,29.5
2022-01-12,Industrial Tech Acquisitions II Inc,ITAQU,150.0M,10
2022-01-12,Hillstream Biopharma Inc,HILS,12.0M,4
2022-01-12,Gores Holding IX Inc,GHIXU,525.0M,10
2022-01-12,10X Capital Venture III Acq Corp,VCXB_u,261.0M,10
2022-01-12,Western Acquisition Ventures Corp,WAVSU,100.0M,10
2022-01-07,Viscogliosi Brothers Acq Corp,VBOCU,75.0M,10
2022-01-06,Vigil Neuroscience Inc,VIGL,98.0M,14
2022-01-06,Cincor Pharma Inc,CINC,176.0M,16
2022-01-06,Amylyx Pharmaceuticals Inc,AMLX,166.3M,19
2022-01-06,C5 Acquisition Corp,CXAC_u,250.0M,10
2022-01-06,Screaming Eagle Acquisition Corp,SCRMU,750.0M,10
2022-01-05,Cartica Acquisition Corp,CITEU,200.0M,10
2022-01-01,American Acq Opportunity Inc,AMAO,100.0M,10
2022-01-01,Ftac Parnassus Acquisition Corp,FTPA,220.0M,10
2022-01-01,Post Holdings Partnering Corp,PSPC,400.0M,10
2022-01-01,Virgin Group Acquisition Corp II,VGII,330.0M,10
2022-01-01,Svf Investment Corp 2,SVFB,200.0M,10
2022-01-01,Hcm Acquisition Corp,HCMAU,250.0M,10
2022-01-01,Acamar Partners Acquisition Corp II,ACAMU,350.0M,10
2022-01-01,Marlin Technology Corporation,FINM,300.0M,10
2022-01-01,Edify Acquisition Corp,EAC,200.0M,10
2022-01-01,Arrowroot Acquisition Corp,ARRW,250.0M,10
2022-06-30,Quidelortho Corp,QDEL,,-
2022-06-30,Iac Interactive Corp,IAC,,-
2022-06-23,Ivanhoe Electric Inc,IE,169.1M,11.75
2022-06-23,Golden Sun Education Group,GSUN,17.6M,4
2022-06-23,Alvotech Sa,ALVO,225.0M,10
2022-06-16,Intelligent Living App Group Inc,ILAG,25.3M,5
2022-06-16,Feutune Light Acquisition Corp,FLFVU,85.0M,10
2022-06-14,Heart Test Laboratories Inc,HSCS,7.4M,4.25
2022-06-10,Acri Capital Acquisition Corp,ACACU,75.0M,10
2022-06-07,Phoenix Motor Inc,PEV,18.8M,7.5
2022-06-01,Zhong Yang Fin Group Ltd,TOP,25.0M,5
2022-05-31,Saverone 2014 Ltd,SVRE,9.3M,4.13
2022-05-25,Brenmiller Energy Ltd,BNRG,17.3M,5.18
2022-05-17,Visionary Edu Tech Hldg Group Inc,VEDU,17.0M,4
2022-05-13,Profrac Holding Corp,PFHC,288.0M,18
2022-05-13,Okyo Pharma Ltd,OKYO,5.0M,5.2
2022-05-12,Hanover Bancorp Inc,HNVR,28.6M,21
2022-05-06,Bausch Lomb Corp,BLCO,630.0M,18
2022-05-05,Austin Gold Corp,AUST,12.0M,4
2022-05-05,Pepgen Inc,PEPG,86.4M,12
2022-05-03,A Spac II Acq Corp,ASCBU,185.0M,10
2022-04-28,Edible Garden Ag Inc,EDBL,10.7M,5
2022-04-28,Belite Bio Inc,BLTE,36.0M,6
2022-04-28,Tenon Medical Inc,TNON,20.0M,5
2022-04-28,Hillevax Inc,HLVX,175.0M,17
2022-04-28,Chenghe Acq Co,CHEAU,100.0M,10
2022-04-27,Ostin Tech Group Co Ltd,OST,13.5M,4
2022-04-26,Climaterock,CLRCU,75.0M,10
2022-04-26,Aimfinity Investment I Corp,AIMAU,70.0M,10
2022-04-22,Je Cleantech Holdings Ltd,JCSE,15.0M,4
2022-04-22,Aclarion Inc,ACON,9.6M,4.35
2022-04-20,Yotta Acquisition Corp,YOTAU,100.0M,10
2022-04-14,Genius Group Ltd,GNS,43.6M,6
2022-04-14,Excelerate Energy Inc,EE,384.0M,24
2022-04-14,Sharps Technology Inc,STSS,15.9M,4.25
2022-04-08,Aura Fat Projects Acq Corp,AFARU,100.0M,10
2022-04-07,Denali Capital Acq Corp,DECAU,75.0M,10
2022-04-01,Metal Sky Star Acq Corp,MSSAU,100.0M,10
2022-09-30,Qomolangma Acq Corp,QOMOU,50.0M,10
2022-09-27,Atlis Motor Vehicles Inc,AMV,,30.11
2022-09-22,Laser Photonics Inc,LASE,15.0M,5
2022-09-15,Global Star Acq Inc,GLSTU,80.0M,10
2022-09-15,Nexalin Tech Inc,NXL,10.5M,7
2022-09-13,Wearable Devices Ltd,WLDS,15.3M,4.25
2022-09-09,Third Harmonic Bio Inc,THRD,153.0M,17
2022-09-08,Yoshiharu Global Co,YOSH,9.8M,4
2022-09-05,Know Labs Inc,KNWN,6.0M,2
2022-09-01,Bio Affinity Tech Inc,BIAF,7.9M,6.13
2022-08-31,Shuttle Pharma Inc,SHPH,10.0M,8.13
2022-08-30,Hempacco Co Inc,HPCO,6.0M,6
2022-08-29,Jeffs Brands Ltd,JBFR,10.4M,4.16
2022-08-26,Onfolio Holdings Inc,ONFO,7.7M,4.5
2022-08-26,Jianzhi Education Tech Group Inc,JZ,25.0M,5
2022-08-25,Mobilicom Ltd,MOB,11.8M,7.43
2022-08-24,Starbox Group Holdings Ltd,STAO,20.0M,4
2022-08-18,Gigacloud Technology Inc,GCT,42.9M,12.25
2022-08-15,Innovative Eyewear Inc,LUCY,11.5M,7.5
2022-08-12,Corphousing Group Inc,CHG,18.0M,4
2022-08-11,Forza X1 Inc,FRZA,15.0M,5
2022-08-11,Treasure Global Inc,TGL,6.0M,4
2022-08-11,Hainan Manaslu Acq Corp,HMACU,60.0M,10
2022-08-05,Magic Empire Global Ltd,MEGL,20.0M,4
2022-08-04,Neovolta Inc,NEOV,4.5M,4
2022-08-04,Bruush Oral Care Inc,BRSH,10.3M,4.16
2022-08-04,Mobiv Acq Corp,MOBVU,87.0M,10
2022-08-04,Pono Capital Two Inc,PTWOU,100.0M,10
2022-07-28,Mobile Global Esports Inc,MGAM,11.3M,4.5
2022-07-28,Maia Biotechnology Inc,MAIA,8.3M,5
2022-07-28,Ecb Bancorp Inc,ECBK,106.4M,10
2022-07-21,Virax Biolabs Group Ltd,VRAX,6.8M,5
2022-07-12,Nano Labs Ltd,NA,20.4M,11.5
2022-07-07,Netcapital Inc,NCPL,6.0M,7.65
2022-07-06,Abeona Therapeutics Inc,ABEO,,-
2022-12-29,Coya Therapeutics Inc,COYA,15.3M,5
2022-12-29,Lightjump Acq Corp,LJAQ,120.0M,10
2022-12-22,Horizon Space Acquisition I Corp,HSPOU,60.0M,10
2022-12-20,Alphavest Acquisition Corp,ATMVU,60.0M,10
2022-12-14,Advanced Merger Partners Inc,AMPI,250.0M,10
2022-12-12,Glenfarne Merger Corp,GGMC,250.0M,10
2022-12-09,Micro Algo Acq Corp,MLGO,40.0M,10
2022-12-08,Adamas One Corp,JEWL,32.2M,4.5
2022-12-07,Lakeshore Acquisition I Corp,OSA,50.0M,10
2022-11-25,H Lundbeck As,HLUNa,,-
2022-11-15,Acrivon Therapeutics Inc,ACRV,73.8M,12.5
2022-11-13,Spring Valley Acquisition II Corp,SVII,200.0M,10
2022-11-10,Atour Lifestyle Holdings Ltd,ATAT,52.3M,11
2022-11-10,Plutonian Acquisition Corp,PLTNU,50.0M,10
2022-11-10,Snail Inc,SNAL,15.0M,5
2022-10-27,Mobileye Global Inc,MBLY,861.0M,21
2022-10-20,Prime Medicine Inc,PRME,151.3M,17
2022-10-13,Hudson Acquisition I Corp,HUDAU,60.0M,10
2022-10-11,Castellum Inc,CTM,6.4M,2
2023-03-31,Syla Technologies Co Ltd,SYT,15.0M,8
2023-03-30,Shengfeng Development Inc,SFWL,12.0M,4
2023-03-30,Chanson Int Inc,CHSN,15.0M,4
2023-03-30,Jin Medical Int Ltd,ZJYL,10.0M,8
2023-03-29,Yangufang Inter Group Co Ltd,YGF,20.0M,4
2023-03-22,Mangoceuticals Inc,MNGO,5.0M,4
2023-03-22,Ohmyhome Inc,OMH,13.0M,4
2023-03-16,Iczoom Group Inc,IZM,6.0M,4
2023-03-14,Kins Technology Group Inc,CXAIW,,-
2023-03-09,Atlas Energy Solutions Inc,AESI,324.0M,18
2023-03-09,Xiao I Corp,AIXI,40.8M,6.8
2023-03-02,Intchains Group Ltd,ICG,10.0M,8
2023-02-17,Caliber Cos Inc,CWD,6.4M,4
2023-02-14,Mars Acquisition Corp,MARXU,60.0M,10
2023-02-13,Mineralys Therapeutics Inc,MLYS,160.0M,16
2023-02-13,Enlight Renewable Energy Inc,ENLT,293.4M,20.96
2023-02-09,Nextracker Inc,NXT,558.1M,24
2023-02-09,Hesai Group Inc,HSAI,171.0M,19
2023-02-02,Structure Therapeutics,GPCR,134.3M,15
2023-02-02,Asset Entities Inc,ASST,7.5M,5
2023-02-01,Tailwind Acquisition Corp,TWNI,300.0M,10
2023-01-27,Brera Holdings Inc,BREA,7.5M,5
2023-01-26,Genelux Corp,GNLX,15.0M,6
2023-01-25,Quanta Sing Group Inc,QSG,40.6M,12.5
2023-01-19,Cadrenal Therapeutics Inc,CVKD,7.0M,5
2023-01-13,Mgo GLobal Inc,MGOL,20.9M,5
2023-01-13,Israel Acquisitions Corp,ISRLU,125.0M,10
2023-01-12,Skyward Specialty Ins Grp Inc,SKWD,127.5M,15
2023-06-30,Intensity Therapeutics Inc,INTS,16.3M,5
2023-06-30,Alliance Ent Holdings Inc,AENT,5.0M,3
2023-06-30,Vesta Real Estate Corp,VTMX,387.5M,31
2023-06-29,Gen Restaurants Group,GENK,36.0M,12
2023-06-29,Kodiak Gas Services Inc,KGS,256.0M,16
2023-06-29,Fidelis Insurance Holdings Ltd,FIHL,210.0M,14
2023-06-29,Savers Value Village Inc,SVV,337.5M,18
2023-06-16,Azitra Inc,AZTR,12.0M,5
2023-06-16,Branch Out Food Inc,BOF,6.6M,6
2023-06-15,Cava Group Inc,CAVA,317.8M,22
2023-06-15,Esh Acquisition Corp,ESHAU,100.0M,10
2023-05-26,Atmus Filtration Tech Inc,ATMU,275.4M,19.5
2023-05-05,Acelyrin Inc,SLRN,370.8M,18
2023-05-04,Kenvue Inc,KVUE,3.3B,22
2023-04-28,Interactive Strength Inc,TRNR,16.0M,8
2023-04-20,U Power Inc,UCAR,15.0M,6
2023-04-20,US Gold Mining Inc,USGO,15.4M,10
2023-04-20,Jayud Global Logistics Inc,JYD,6.0M,4
2023-04-20,Wang And Lee Group Inc,WLGS,8.0M,5
2023-04-18,Trio Petroleum Inc,TPET,6.9M,4
2023-04-18,Top Kingwin Ltd,TCJH,12.0M,4
2023-04-17,Pan American Silver Cor,PAAS,,-
2023-04-13,Golden Heaven Group Ltd,GDHG,8.0M,4
2023-04-13,Cyto Med Therapeutics Inc,GDTC,9.6M,4
2023-04-13,Vci Global Inc,VCIG,6.4M,4
2023-04-04,Ispire Technology Inc,ISPR,21.0M,7
2023-04-04,Millennium Group,MGIH,5.0M,4
2023-04-04,Arb Iot Group Ltd,ARBB,5.2M,4